"";"Matriculado";"Sexo";"Tipo";"Region";"Egreso";"Nem";"Ranking";"Matematicas";"Lenguaje"
"8948";1;0;0;"Metropolitana";2023;851;907;811;696
"8949";0;0;0;"Valparaiso";2023;717;764;498;573
"8950";1;1;0;"Biobio";2022;808;820;705;589
"8951";1;1;0;"Metropolitana";2022;504;504;585;607
"8952";1;0;0;"Biobio";2023;722;735;939;833
"8953";0;0;0;"Valparaiso";2023;697;697;465;576
"8954";1;0;0;"Araucania";2022;572;572;478;665
"8955";0;1;0;"Biobio";2023;393;393;478;500
"8956";0;0;1;"Metropolitana";2019;491;491;513;375
"8957";0;1;0;"Metropolitana";2023;799;808;593;582
"8958";1;0;0;"Valparaiso";2021;699;707;505;656
"8959";1;1;0;"Maule";2021;643;641;680;726
"8960";0;1;0;"Maule";2023;526;526;0;0
"8961";1;1;0;"Arica";2022;856;861;593;686
"8962";1;0;0;"Los Lagos";2023;727;727;797;689
"8963";1;1;0;"Atacama";2023;736;764;549;689
"8964";0;1;1;"Araucania";2023;587;587;616;582
"8965";0;0;0;"Los Lagos";2023;765;768;563;686
"8966";0;0;1;"Metropolitana";2023;513;517;0;0
"8967";1;1;0;"Maule";2023;970;985;705;641
"8968";0;0;0;"Metropolitana";2023;799;801;879;665
"8969";1;0;1;"Metropolitana";2023;644;724;585;689
"8970";1;1;0;"Metropolitana";2021;410;410;378;651
"8971";1;1;0;"Biobio";2023;594;594;535;584
"8972";0;1;0;"Biobio";1990;0;0;773;0
"8973";1;1;0;"Valparaiso";2023;893;968;563;524
"8974";1;0;0;"OHiggins";2022;779;789;465;625
"8975";0;0;0;"Maule";2023;722;750;600;600
"8976";0;0;0;"Arica";2023;751;752;498;388
"8977";1;0;1;"Biobio";2023;808;840;593;641
"8978";1;1;0;"Metropolitana";2021;657;700;616;774
"8979";0;1;0;"Valparaiso";2023;727;727;563;540
"8980";0;0;1;"Araucania";2023;299;299;0;0
"8981";0;0;0;"Metropolitana";2023;519;519;0;0
"8982";0;1;0;"Metropolitana";2023;928;1000;563;721
"8983";1;0;0;"Nuble";2016;504;504;563;554
"8984";1;1;0;"Metropolitana";2019;613;637;498;519
"8985";1;1;0;"Metropolitana";2023;751;755;607;699
"8986";1;0;0;"Metropolitana";2022;736;772;535;625
"8987";1;0;0;"Nuble";2023;722;722;593;563
"8988";0;0;0;"Metropolitana";2023;828;832;705;686
"8989";0;1;1;"OHiggins";2023;794;848;513;597
"8990";1;1;0;"Antofagasta";2023;526;526;535;576
"8991";1;1;0;"Metropolitana";2023;828;828;696;567
"8992";1;0;0;"Biobio";2023;771;798;593;726
"8993";1;1;0;"Valparaiso";2023;837;853;844;857
"8994";0;0;1;"Coquimbo";2023;658;707;0;0
"8995";1;1;0;"Nuble";2022;742;754;478;591
"8996";1;1;1;"Metropolitana";2023;729;771;450;567
"8997";0;0;1;"Metropolitana";2023;402;402;535;641
"8998";0;0;1;"OHiggins";2023;427;427;0;0
"8999";0;0;1;"Metropolitana";2023;465;465;465;466
"9000";1;1;0;"Maule";2022;432;432;599;636
"9001";0;0;0;"Araucania";2021;510;511;0;0
"9002";0;1;0;"Valparaiso";2023;823;888;593;591
"9003";1;0;0;"Los Rios";2020;650;672;657;481
"9004";1;0;0;"OHiggins";2023;594;594;679;656
"9005";0;0;1;"Metropolitana";2023;700;729;600;524
"9006";0;1;0;"Metropolitana";2012;551;551;478;620
"9007";0;0;1;"Metropolitana";2023;771;843;498;423
"9008";0;0;0;"Valparaiso";2023;504;504;498;567
"9009";1;0;0;"Maule";2023;886;938;505;591
"9010";0;0;0;"Metropolitana";2022;0;0;0;0
"9011";1;0;0;"Valparaiso";2023;851;874;680;784
"9012";1;0;0;"Metropolitana";2022;580;580;0;0
"9013";1;1;0;"Arica";2015;727;727;731;738
"9014";1;0;1;"Metropolitana";2023;780;891;505;466
"9015";1;0;0;"Metropolitana";2017;856;916;990;788
"9016";1;0;0;"Metropolitana";2023;613;613;585;563
"9017";1;1;0;"Metropolitana";2023;622;624;523;573
"9018";0;0;0;"Antofagasta";2023;671;671;378;385
"9019";1;1;0;"Metropolitana";2023;865;883;811;738
"9020";1;0;1;"Magallanes";2023;695;716;498;607
"9021";1;1;0;"Metropolitana";2023;713;713;939;759
"9022";1;0;1;"Metropolitana";2023;914;1000;593;582
"9023";1;1;0;"Metropolitana";2023;757;774;505;584
"9024";1;1;1;"Maule";2023;658;661;505;707
"9025";0;0;0;"Metropolitana";2023;628;634;616;641
"9026";1;1;1;"Biobio";2022;616;629;489;549
"9027";1;1;0;"Metropolitana";2023;985;997;990;738
"9028";0;0;1;"Los Rios";2023;465;465;0;0
"9029";1;0;0;"Metropolitana";2023;965;994;862;837
"9030";0;0;0;"Valparaiso";2023;599;599;797;500
"9031";1;1;0;"Metropolitana";2023;865;903;563;679
"9032";0;1;1;"Arica";2023;644;656;450;394
"9033";1;0;0;"Coquimbo";2023;657;657;785;589
"9034";1;0;0;"Maule";2015;613;613;811;607
"9035";0;1;0;"Metropolitana";2023;488;488;424;405
"9036";1;0;1;"Metropolitana";2023;715;762;642;742
"9037";1;1;1;"Valparaiso";2023;637;638;575;540
"9038";1;0;0;"Araucania";2023;722;723;535;759
"9039";1;0;0;"Maule";2021;636;636;642;676
"9040";1;1;0;"OHiggins";2022;622;622;513;611
"9041";1;0;0;"Metropolitana";2022;779;797;897;676
"9042";0;1;0;"Los Lagos";2020;425;425;0;0
"9043";0;1;0;"Araucania";2005;914;916;0;815
"9044";0;1;1;"Antofagasta";2023;427;427;0;0
"9045";0;0;0;"Biobio";2023;736;810;424;484
"9046";0;1;1;"Coquimbo";2023;843;868;498;423
"9047";0;0;0;"Los Lagos";2023;643;665;642;625
"9048";0;0;1;"Tarapaca";2023;652;652;523;484
"9049";0;1;1;"Metropolitana";2023;630;630;498;500
"9050";0;0;0;"Biobio";2022;447;447;563;418
"9051";0;1;1;"Metropolitana";2023;637;677;549;473
"9052";0;1;0;"Metropolitana";2023;742;744;593;591
"9053";0;1;0;"Biobio";2023;586;586;0;0
"9054";1;0;1;"Valparaiso";2023;658;694;593;567
"9055";0;0;0;"Biobio";2023;650;650;465;506
"9056";1;0;0;"Los Lagos";2022;703;760;731;669
"9057";0;1;0;"Valparaiso";2023;779;782;563;584
"9058";1;1;0;"Metropolitana";2022;900;923;879;770
"9059";0;0;0;"Biobio";2023;580;580;0;0
"9060";1;1;0;"Araucania";2023;779;794;696;689
"9061";0;0;0;"Metropolitana";2023;580;581;549;582
"9062";1;1;0;"Valparaiso";2022;785;790;696;636
"9063";1;1;0;"Tarapaca";2023;814;850;669;759
"9064";1;1;0;"Maule";2023;914;926;705;686
"9065";1;0;0;"Antofagasta";2018;765;769;897;707
"9066";1;0;0;"Metropolitana";2023;837;837;731;742
"9067";1;1;1;"Metropolitana";2023;709;754;585;476
"9068";1;1;0;"Antofagasta";2008;680;680;607;759
